Item_Id,Product_Name,Stock,Price
"19204999081",YOFIE BLOUSE,"1711",52999.00000000001
"12029567531",JAZ PANTS IMPORT,"1975",46999.00000000001
"7517898173",LACE OUTER,"17",24999.000000000004
"6779755311",SERLA KULOT,"60",49999.00000000001
"9175673675",MAY MIDI DRESS,"7283",56999.00000000001
"13379964190",TANKTOP POLOS WANITA,"29",8999
"15446024163",FUJIAN BLOUSE,"148",41999
"16574465484",LESLEY SKIRT,"2403",64999.00000000001
"9090513341",DEBORA BLOUSE,"396",49999.00000000001
"17716092137",JOSEP SKIRT,"2972",48999.00000000001
"18808552166",SPECIAL 6.6 SALE,"218",6600.000000000001
"14925906085",TANTRI TUNIK,"1187",64999.00000000001
"13029587626",SOJIN MIDI DRESS,"12578",64999.00000000001
"15826870647",KINAN BLOUSE,"77",54999.00000000001
"14202175163",ISYANA MIDI DRESS,"10270",63999.00000000001
"17320197139",DAZLING SWEATER,"23",84999
"19310246788",RESTA KULOT CRINCLE,"1398",37999
"9945581258",ZEA LONG CARDI,"1730",67999
"11385114174",FEMEI OUTER CROP,"1916",43999
"8696369371",RIVAL MIDI DRESS,"12817",62999.00000000001
"7096476891",CRINCLE BLOUSE / BLOUSE RAYON,"8289",39999
"9886192494",SANSO MIDI DRESS,"287",64999.00000000001
"5485986084",JOEY PANTS,"20",58999.00000000001
"13753224306",AVISCA TUNIK,"2056",59999.00000000001
"10154536984",MASITA MIDI DRESS,"430",61499.00000000001
"21008129927",TASYNA LONG OUTER,"1980",73999
Item_Id,Product_Name,Stock,Price
"16941477218",THOFU KULOT CRINCLE,"3209",57999.00000000001
"19204999081",YOFIE BLOUSE,"1711",52999.00000000001
Item_Id,Product_Name,Stock,Price
Item_Id,Product_Name,Stock,Price
"17508276768",LUXO LINEN SHIRT,"3918",53999.00000000001
"9090513341",DEBORA BLOUSE,"3955",50999.00000000001
"16941477218",THOFU KULOT CRINCLE,"3209",57999.00000000001
"7517898173",LACE OUTER,"17",24999.000000000004
"14852912714",VIDI LINEN PANTS,"56",43999
